username,url,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10
therealmentorcynthia,https://www.tiktok.com/@therealmentorcynthia,4500000,2400000,2100000,95200,8942,35000,13900,19200,18000,21200
graceful.girls58,https://www.tiktok.com/@graceful.girls58,1270,13500,86900,19000,1825,1724,2899,1156,2114,1583
gracefully.assertive,https://www.tiktok.com/@gracefully.assertive,168,0,0,0,0,0,0,0,0,0
reikifyd,https://www.tiktok.com/@reikifyd,3552,888,614,345,421,356,64,304,586,305
becomethestar,https://www.tiktok.com/@becomethestar,0,13300,13800,10000,1150,1862,1313,1052,791,881
grace.energy2,https://www.tiktok.com/@grace.energy2,4,37,321,219,212,127,300,286,129,355
energystonejewelry,https://www.tiktok.com/@energystonejewelry,104,664,583,96,589,40,640,195,806,661
totally.tasha6,https://www.tiktok.com/@totally.tasha6,99400,240300,164100,972,1630,1803,7073,7326,3584,2540
_smilinggg7,https://www.tiktok.com/@_smilinggg7,2100000,581400,96100,1181,339300,14800,8736,488800,1632,2338
gracefulgodis,https://www.tiktok.com/@gracefulgodis,373,398,606,1416,1275,3967,1081,1359,1044,935
candidlykind,https://www.tiktok.com/@candidlykind,291800,3300000,2100000,36400,421800,101400,4569,25800,3715,3933
kazekun0512,https://www.tiktok.com/@kazekun0512,446,98,28200,6125,76,465,20000,5414,686,152
chlobainn,https://www.tiktok.com/@chlobainn,696300,120000,1400000,1300,842,4054,58300,384500,492,1281
gracesenergy,https://www.tiktok.com/@gracesenergy,104,971,663,0,0,0,0,0,0,0
alexandra_hope_craig,https://www.tiktok.com/@alexandra_hope_craig,5700000,1200000,308200,2324,1371,1685,1357,1275,2694,1540
dairypinkid,https://www.tiktok.com/@dairypinkid,3500000,30300,105500,283,239,219,257,235,282,334
amber.denaeh,https://www.tiktok.com/@amber.denaeh,660,2110,2280,2190,2076,8,98,92,523,43
grace_hara13,https://www.tiktok.com/@grace_hara13,21700,40300,496900,146,405,348,152,426,401,449
graciasmaria15,https://www.tiktok.com/@graciasmaria15,227,91,84,131,167,143,167,150,135,76
clareviviankasun5,https://www.tiktok.com/@clareviviankasun5,843,474,487,436,829,903,466,693,486,347
goodlittlechung,https://www.tiktok.com/@goodlittlechung,485700,1500000,710700,6039,24200,11300,7286,147200,5379,21200
park.s.g0,https://www.tiktok.com/@park.s.g0,1278,1462,57000,950,716,1077,2913,1708,2242,1725
graceandform,https://www.tiktok.com/@graceandform,76700,2100000,1000000,924,2465,1330,1412,1490,1658,1294
jumingrace,https://www.tiktok.com/@jumingrace,616,809,449,3236,465,583,681,358,1099,855
faithgraceinspires,https://www.tiktok.com/@faithgraceinspires,6719,930,1514,953,1186,856,4019,947,698,659
grow.with.grace7,https://www.tiktok.com/@grow.with.grace7,147,401,152,388,140,410,148,31,149,380
felicia_talkss,https://www.tiktok.com/@felicia_talkss,413,739,611,752,0,0,0,0,0,0
ultraverse,https://www.tiktok.com/@ultraverse,348,377,533,446,509,331,291,924,233,239
grace.1619,https://www.tiktok.com/@grace.1619,252,827,526,325,760,703,197,437,434,1608
graceee_e,https://www.tiktok.com/@graceee_e,114,153,241,455,133,204,238,116,227,63
elllliegrace,https://www.tiktok.com/@elllliegrace,70800,27200,122800,431,340,9520,1056,4228,847,298
miekopong,https://www.tiktok.com/@miekopong,85000,2500000,87700,3823,620,811,850,5739,1575,2034
gracegkb,https://www.tiktok.com/@gracegkb,1322,1931,0,0,0,0,0,0,0,0
gracevictorialees,https://www.tiktok.com/@gracevictorialees,15900,567200,1290,808,959,2058,22900,3848,5152,10500
subtlbeauty,https://www.tiktok.com/@subtlbeauty,442,2766,6047,1663,2598,9167,2564,2627,1934,1566
deibe__,https://www.tiktok.com/@deibe__,15800,13600,945,269,5829,930,283,20600,815,1014
brittainydoeslife,https://www.tiktok.com/@brittainydoeslife,1448,195,790,430,291,945,1181,1078,25,245
cheygren,https://www.tiktok.com/@cheygren,4309,3127,1599,2287,2149,4342,1667,2727,2094,2428
niamhadkins,https://www.tiktok.com/@niamhadkins,116700,67600,24900,2200000,2500000,630600,613700,1300000,1200000,235300
dasique_global,https://www.tiktok.com/@dasique_global,2400000,8920,5282,5539,8090,8729,5327,11100,11300,11000
1isabelamercedes,https://www.tiktok.com/@1isabelamercedes,2172,78000,15600,24300,25300,24700,4643,6712,37000,29100
blpbeauty,https://www.tiktok.com/@blpbeauty,45300,16200,3782,281600,60700,2668,2372,317000,14500,85900
alicelinnea__,https://www.tiktok.com/@alicelinnea__,657100,16000000,6900000,3314,20800,30400,25300,11700,30900,18000
rialistictravels,https://www.tiktok.com/@rialistictravels,299,2096,912,322,301,403,1027,294,589,375
averykatherinewood,https://www.tiktok.com/@averykatherinewood,1200000,7100000,319600,439000,440400,779800,236000,403600,1200000,267000
arasheil,https://www.tiktok.com/@arasheil,2100000,74000,66600,54900,40400,101000,85000,87400,569600,32700
muriellevs,https://www.tiktok.com/@muriellevs,8000000,11700000,24000000,114900,17600,20500,22300,25900,85600,448800
